id,name,type
1303578,Miracolo a Milano, 剧情 喜剧 奇幻
1758347,La r, 纪录片
1293256,Being There, 剧情 喜剧
1302827,Artificial Intelligence: AI, 剧情 科幻 冒险
4086853,Melancholia, 剧情 科幻 惊悚
1296583,Jeder f, 剧情 传记
1303869,Les Vampires, 剧情 动作 悬疑 惊悚 犯罪 冒险
1306186,Triumph des Willens, 纪录片 战争
1293561,Deliverance, 剧情 惊悚 冒险
1432639,Tale of Tales, 动画 短片
1316524,"Alphaville, une", 剧情 科幻 悬疑
1293230,Die bitteren Tr, 剧情
1438734,Inland Empire, 剧情 悬疑 惊悚
1297188,Le fant, 剧情 喜剧
1300027,Pat Garrett & Billy the Kid, 剧情 历史 西部
1295416,Rebel Without a Cause, 剧情 爱情
1293306,Alice in den St, 剧情
1294848,Providence, 剧情
1292764,Hannah and Her Sisters, 剧情 喜剧 爱情
1937459,Juventude Em Marcha, 剧情
1303546,La prise de pouvoir par Louis XIV, 剧情 历史
1306489,Cat People, 悬疑 恐怖
1767042,El laberinto del fauno, 剧情 悬疑 战争 奇幻
1299539,Picnic at Hanging Rock, 剧情 悬疑 惊悚 恐怖
1829859,No Quarto da Vanda, 剧情 纪录片
1293484,Hatari!, 剧情 动作 爱情 冒险
1299799,Casino, 剧情 传记 犯罪
1855271,Bigger Than Life, 剧情
1303553,The Servant, 剧情
1291546,Farewell My Concubine, 剧情 爱情 同性
1857099,No Country for Old Men, 剧情 惊悚 犯罪
1300958,Tystnaden, 剧情
1294005,Splendor in the Grass, 剧情 爱情
1306559,Aparajito, 剧情
1292792,My Own Private Idaho, 剧情 爱情 同性
1401915,Le cercle rouge, 剧情 惊悚 犯罪
2002721,Stellet licht, 剧情
1292065,Scarface, 剧情 惊悚 犯罪
1291559,Les amants du Pont-Neuf, 剧情 爱情
1293936,The Killing, 惊悚 犯罪 黑色电影
1295211,Our Hospitality, 喜剧 家庭
1292223,Se7en, 剧情 悬疑 惊悚 犯罪
1775245,Scorpio Rising, 短片
1298471,Shock Corridor, 剧情 悬疑
1294477,Secrets & Lies, 剧情 喜剧 家庭
1301895,Orlando, 剧情 爱情
1296600,Detour, 剧情 犯罪 黑色电影
1395036,Salesman, 纪录片
1297367,Love Me Tonight, 喜剧 歌舞
1303560,Nazar, 剧情
1293150,Ben-Hur, 剧情 动作 历史 战争 冒险
1306449,La haine, 剧情 犯罪
1298566,A Hard Day's Night, 喜剧 音乐
1293590,A Streetcar Named Desire, 剧情
1306016,"Dr. Mabuse, der Spieler", 悬疑 惊悚 犯罪
1293782,Young Frankenstein, 喜剧 科幻
1925768,Cabra Marcado Para Morrer, 纪录片
1300055,Full Metal Jacket, 剧情 战争
1299608,Scarface, 剧情 动作 犯罪 黑色电影
1307177,I Walked with a Zombie, 恐怖
1300352,Seven Chances, 喜剧 爱情 家庭
1304447,Memento, 剧情 悬疑 惊悚 犯罪
1293027,Passion, 剧情 喜剧
1478064,Children of Men, 剧情 科幻 冒险 灾难
1293448,2 Evil Dead II, 喜剧 恐怖
1291990,Before Sunset, 剧情 爱情
1291844,Terminator 2: Judgment Day, 动作 科幻
1851857,The Dark Knight, 剧情 动作 科幻 惊悚 犯罪
1293824,Rebecca, 剧情 爱情 悬疑
1293073,The Fly, 科幻 恐怖
2078989,"4 luni, 3 s", 剧情
1295427,Der blaue Engel, 剧情 歌舞
1295148,Bambi, 剧情 动画
2567883,O Drag, 剧情 西部
1292760,The Lady Vanishes, 喜剧 悬疑 惊悚
1298412,The 39 Steps, 悬疑 惊悚 犯罪
1462674,Szeg, 剧情 战争
1297203,Possession, 剧情 恐怖
1293047,A Place in the Sun, 剧情 爱情
1293840,The Manchurian Candidate, 剧情 惊悚
1301214,La belle noiseuse, 剧情 情色
1962586,Xala, 喜剧
1298655,Die Ehe der Maria Braun, 剧情
1293321,Europa '51, 剧情
1304862,Goodbye Dragon Inn, 剧情 喜剧
1293499,Young Mr. Lincoln, 剧情 传记
1307997,Blissfully Yours, 剧情 爱情
1295835,Walkabout, 剧情 冒险
1298951,They Live by Night, 爱情 犯罪 黑色电影
1294413,After Life, 剧情
1293213,Les diaboliques, 剧情 悬疑 惊悚 犯罪
1418997,The African Queen, 剧情 爱情 战争 冒险
1781126,Zodiac, 剧情 悬疑 惊悚 历史 犯罪
2278780,Arrebato, 剧情 恐怖
1301216,White Heat, 剧情 惊悚 犯罪 黑色电影
1303358,Fat City, 剧情 运动
1293276,Raising Arizona, 喜剧 悬疑 犯罪 冒险
